10c_6	10-26-------17:32:19	0:19	D: 5.747847719335689	L: 0.05279197543859482
10c_7	10-26-------19:11:37	0:18	D: 5.987757884885626	L: 0.05063657835125923
10c_8	10-26-------20:50:15	0:18	D: 5.754439669580739	L: 0.05347136780619621
10c_9	10-26-------22:29:30	0:18	D: 6.210265913372002	L: 0.054259274154901505
10c2_1	10-26-------22:46:16	0:19	D: 6.896359232830393	L: 0.05927925184369087
10c2_2	10-27-------00:34:20	0:20	D: 8.863388576488214	L: 0.06879498809576035
10c2_2	10-27-------01:48:39	0:27	D: 5.789464921348632	L: 0.04879077151417732
10c2_3	10-27-------03:28:11	0:26	D: 6.754362303583307	L: 0.05495540425181389
10c2_4	10-27-------05:08:28	0:26	D: 6.283802864048678	L: 0.06173956021666527
10c2_5	10-27-------06:48:17	0:26	D: 6.025802200891133	L: 0.05992664769291878
10c2_6	10-27-------08:28:44	0:26	D: 6.74179660599058	L: 0.054766133427619934
10c2_7	10-27-------10:09:27	0:26	D: 6.656182518335963	L: 0.05593756213784218
10c2_2	10-27-------11:33:53	0:27	D: 5.789464921348632	L: 0.04879077151417732
10c2_3	10-27-------12:54:42	0:25	D: 5.285839809059661	L: 0.04732083901762962
10c2_3	10-27-------12:56:40	0:13	D: 5.285839809059661	L: 0.04732083901762962
10c2_4	10-27-------14:33:36	0:19	D: 5.039616276245451	L: 0.04821252450346947
10c2_5	10-27-------16:13:15	0:18	D: 5.724315211303394	L: 0.055824995040893555
10c2_6	10-27-------17:53:29	0:19	D: 5.719656583443274	L: 0.05019828677177429
10c2_7	10-27-------19:34:44	0:19	D: 5.779041273257655	L: 0.04526737332344055
10c2_8	10-27-------21:16:30	0:19	D: 4.944751082990688	L: 0.0479314848780632
10c2_9	10-27-------23:42:54	0:19	D: 4.934072917808217	L: 0.04836795851588249
10c2_9	10-28-------00:22:33	0:13	D: 4.983266271467638	L: 0.050700489431619644
10c2_9	10-28-------00:23:13	0:13	D: 4.934072917808217	L: 0.04836795851588249
10c3_1	10-28-------01:16:23	0:13	D: 7.030538086777717	L: 0.054140906780958176
10c3_2	10-28-------03:06:42	0:19	D: 5.825280958075599	L: 0.04616936668753624
10c3_3	10-28-------04:58:23	0:19	D: 6.138368488714593	L: 0.05224671587347984
10c3_4	10-28-------06:50:30	0:19	D: 5.527269346915843	L: 0.04799763113260269
10c3_5	10-28-------08:41:44	0:19	D: 5.48689969136388	L: 0.04820571467280388
10c3_6	10-28-------10:34:00	0:19	D: 6.180683138672975	L: 0.04960005730390549
10c3_7	10-28-------12:26:49	0:19	D: 5.430372813302713	L: 0.050443049520254135
10c3_8	10-28-------14:17:39	0:18	D: 5.400270387713274	L: 0.04566863924264908
10c3_9	10-28-------16:07:56	0:24	D: 5.559695936343474	L: 0.04541207104921341
10c3_10	10-28-------17:59:13	0:25	D: 5.6217437132618135	L: 0.04561341553926468
10c3_11	10-28-------19:51:43	0:25	D: 5.238174104788204	L: 0.04963640496134758
10c2_10	10-28-------23:44:20	0:25	D: 4.994807050567986	L: 0.04888978973031044
10c_9	10-29-------03:44:16	0:19	D: 5.863093631864255	L: 0.05983594432473183
10c_10	10-29-------05:36:37	0:21	D: 6.398405999722068	L: 0.053548961877822876
10c_11	10-29-------07:30:19	0:20	D: 5.84886900693401	L: 0.05080994591116905
10c_8	10-29-------09:29:18	0:13	D: 5.754439669580739	L: 0.05347136780619621
10c_9	10-29-------09:29:44	0:13	D: 5.863093631864255	L: 0.05983594432473183
10d_2	10-29-------11:23:46	0:19	D: 5.927153081618821	L: 0.04468495398759842
10d_3	10-29-------13:00:15	0:19	D: 5.813037948036681	L: 0.04769328236579895
10d_5	10-29-------13:44:11	0:28	D: 5.663740674645129	L: 0.04695426672697067
10d_6	10-29-------14:26:14	0:19	D: 5.259995604791281	L: 0.04965611547231674
10d_7	10-29-------15:08:36	0:28	D: 5.225288711333261	L: 0.05000423640012741
10d_8	10-29-------15:50:29	0:28	D: 5.6241257543123755	L: 0.05076514929533005
10d_9	10-29-------16:33:18	0:28	D: 5.845179991096164	L: 0.0508677214384079
10d_10	10-29-------17:15:10	0:28	D: 5.324804575856296	L: 0.04718148335814476
10d_11	10-29-------17:57:20	0:29	D: 5.393051941735543	L: 0.04583493620157242
10d_4	10-29-------21:44:50	0:13	D: 5.784900163346972	L: 0.04380983114242554
10d_1	10-29-------21:47:21	0:0	D: 4.863044819626857	L: 0.5140572786331177
10d_2	10-29-------21:48:06	0:0	D: 4.500122510337803	L: 0.48428305983543396
10d_3	10-29-------21:48:21	0:0	D: 3.259665145159668	L: 0.490082323551178
10d_4	10-29-------21:48:37	0:0	D: 7.499874188386852	L: 0.35882148146629333
10d_5	10-29-------21:48:53	0:0	D: 6.7631613200938645	L: 0.573309600353241
10d_6	10-29-------21:49:09	0:0	D: 6.490962535080807	L: 0.48766013979911804
10d_7	10-29-------21:49:26	0:0	D: 7.107256279861443	L: 0.5667812824249268
10d_8	10-29-------21:49:40	0:0	D: 6.417508685117463	L: 0.5106648802757263
10d_9	10-29-------21:49:55	0:0	D: 4.315947724593906	L: 0.5462296009063721
10d_10	10-29-------21:50:09	0:0	D: 6.530495168499707	L: 0.4558587968349457
10	10-30-------14:36:16	0:13	D: 15.17213783797888	L: 0.06606092303991318
10_1	10-30-------14:37:30	0:13	D: 6.6568730839355545	L: 0.04437544196844101
